Concurrent Requests,1-instances-per-model-batch-1-time-2000,1-instances-per-model-batch-3-time-2000,1-instances-per-model-batch-5-time-2000,2-instances-per-model-batch-1-time-2000,2-instances-per-model-batch-3-time-2000,2-instances-per-model-batch-5-time-2000,3-instances-per-model-batch-1-time-2000,3-instances-per-model-batch-3-time-2000,3-instances-per-model-batch-5-time-2000,4-instances-per-model-batch-1-time-2000,4-instances-per-model-batch-3-time-2000,4-instances-per-model-batch-5-time-2000
1,3.6564,7.4635,7.4215,,7.554,6.273,4.1907499999999995,7.8685,7.301500000000001,3.8247999999999998,7.851,7.4079999999999995
2,4.86025,7.716800000000001,7.715999999999999,28.373,7.4726,7.686,3.5979999999999994,7.525399999999999,7.4246,3.518,7.4472,7.406200000000001
4,9.135333333333332,8.754444444444443,9.919125,4.40125,6.742777777777778,8.480749999999999,3.775900000000001,7.47675,8.4226,3.695318181818183,7.299375,9.202499999999999
8,17.56833333333333,14.147571428571428,14.224,4.646933333333334,8.937722222222224,11.088333333333335,6.61264,7.8838888888888885,10.917714285714284,5.998814814814815,7.898176470588237,11.489312499999999
16,35.00925000000001,27.173705882352937,24.468714285714288,8.632157894736844,14.420150000000001,18.124380952380953,12.759633333333333,10.59274074074074,13.17303703703704,10.430529411764708,9.59196551724138,11.916545454545455
32,67.49460869565218,52.142599999999995,49.66599999999999,16.566499999999994,25.942294117647055,28.269939393939396,24.986675675675666,18.49446511627907,19.406151515151514,19.854325581395354,15.847695652173917,17.18545238095238
64,100.02853333333333,88.99085714285717,89.69029411764707,33.14940625,53.060519999999975,53.122780000000006,49.695685185185205,36.943803571428575,35.4305806451613,44.12881666666666,29.37528124999999,30.006
128,,,117.864,65.57136956521741,69.81011111111111,63.6322,63.29675,47.945249999999994,43.69699999999999,61.05950000000001,38.010466666666666,35.22820000000001
256,,,,86.09028571428573,,,,,,,,
